en-CA;CCAD2020MLPCM;5358906900;CorelCAD 2020;899;764;;CA$ 135;-15%;($135)
en-CA;ESDCCAD2020ML;223210;CorelCAD 2020;899;764;;CA$ 135;-15%;($135)
en-CA;ESDCCAD2020MLUG;223211;CorelCAD 2020;259;219;;CA$ 40;-15%;($40)
cs-CZ;ESDCCAD2020ML;223210;CorelCAD 2020;23,029;19,574;;15%;-15%;($3,455)
cs-CZ;ESDCCAD2020MLUG;223211;CorelCAD 2020;6,589;5,600;;15%;-15%;($989)
da-DK;ESDCCAD2020ML;223210;CorelCAD 2020;6,240;5,304;;15%;-15%;($936)
da-DK;ESDCCAD2020MLUG;223211;CorelCAD 2020;1,769;1,503;;15%;-15%;($266)
de-DE;ESDCCAD2020ML;223210;CorelCAD 2020;829,99;704,99;;15 %;-15%;($125)
de-DE;ESDCCAD2020MLUG;223211;CorelCAD 2020;239,99;203,99;;15 %;-15%;($36)
de-LI;ESDCCAD2020ML;223210;CorelCAD 2020;930;790;;15%;-15%;($140)
de-LI;ESDCCAD2020MLUG;223211;CorelCAD 2020;265;225;;15%;-15%;($40)
en-AU;ESDCCAD2020ML;223210;CorelCAD 2020;999;849;;15%;-15%;($150)
en-AU;ESDCCAD2020MLUG;223211;CorelCAD 2020;285;242;;15%;-15%;($43)
en-GB;ESDCCAD2020ML;223210;CorelCAD 2020;799.99;679.99;;15%;-15%;($120)
en-GB;ESDCCAD2020MLUG;223211;CorelCAD 2020;232.99;197.99;;15%;-15%;($35)
en-IE;ESDCCAD2020ML;223210;CorelCAD 2020;829.99;704.99;;15%;-15%;($125)
en-IE;ESDCCAD2020MLUG;223211;CorelCAD 2020;239.99;203.99;;15%;-15%;($36)
en-IN;ESDCCAD2020ML;223210;CorelCAD 2020;39,000;;;;;
en-IN;ESDCCAD2020MLUG;223211;CorelCAD 2020;11,075;;;;;
en-MY;ESDCCAD2020ML;223210;CorelCAD 2020;2,390;2,031;;15%;-15%;($359)
en-MY;ESDCCAD2020MLUG;223211;CorelCAD 2020;679;577;;15%;-15%;($102)
en-NZ;ESDCCAD2020ML;223210;CorelCAD 2020;869;738;;15%;-15%;($131)
en-NZ;ESDCCAD2020MLUG;223211;CorelCAD 2020;249;211;;15%;-15%;($38)
en-RW;ESDCCAD2020ML;223210;CorelCAD 2020;699;594;;15%;-15%;($105)
en-RW;ESDCCAD2020MLUG;223211;CorelCAD 2020;199;169;;15%;-15%;($30)
en-SG;ESDCCAD2020ML;223210;CorelCAD 2020;999;849;;15%;-15%;($150)
en-SG;ESDCCAD2020MLUG;223211;CorelCAD 2020;285;242;;15%;-15%;($43)
en-US;CCAD2020MLPCM;5358906900;CorelCAD 2020;699;594;;$105 ;-15%;($105)
en-US;ESDCCAD2020ML;223210;CorelCAD 2020;699;594;;$105 ;-15%;($105)
en-US;ESDCCAD2020MLUG;223211;CorelCAD 2020;199;169;;$30 ;-15%;($30)
en-ZA;ESDCCAD2020ML;223210;CorelCAD 2020;7 999;6 799;;15%;-15%;($1,200)
en-ZA;ESDCCAD2020MLUG;223211;CorelCAD 2020;2 290;1 946;;15%;-15%;($344)
es-AR;ESDCCAD2020ML;223210;CorelCAD 2020;19.229;16.344;;15%;-15%;($2,885)
es-AR;ESDCCAD2020MLUG;223211;CorelCAD 2020;5.469;4.648;;15%;-15%;($821)
es-CL;ESDCCAD2020ML;223210;CorelCAD 2020;396.933;337.393;;15%;-15%;($59,540)
es-CL;ESDCCAD2020MLUG;223211;CorelCAD 2020;113.003;96.052;;15%;-15%;($16,951)
es-CO;ESDCCAD2020ML;223210;CorelCAD 2020;1.449.789;1.232.320;;15%;-15%;($217,469)
es-CO;ESDCCAD2020MLUG;223211;CorelCAD 2020;411739;349978;;15%;-15%;($61,761)
es-ES;ESDCCAD2020ML;223210;CorelCAD 2020;829,99;704,99;;15%;-15%;($125)
es-ES;ESDCCAD2020MLUG;223211;CorelCAD 2020;239,99;203,99;;15%;-15%;($36)
es-MX;ESDCCAD2020ML;223210;CorelCAD 2020;9,739;8,278;;15%;-15%;($1,461)
es-MX;ESDCCAD2020MLUG;223211;CorelCAD 2020;2,766;2,351;;15%;-15%;($415)
es-PE;ESDCCAD2020ML;223210;CorelCAD 2020;1,990;1,691;;15%;-15%;($299)
es-PE;ESDCCAD2020MLUG;223211;CorelCAD 2020;566;481;;15%;-15%;($85)
fr-FR;ESDCCAD2020ML;223210;CorelCAD 2020;829,99;704,99;;15 %;-15%;($125)
fr-FR;ESDCCAD2020MLUG;223211;CorelCAD 2020;239,99;203,99;;15 %;-15%;($36)
it-IT;ESDCCAD2020ML;223210;CorelCAD 2020;829,99;704,99;;15%;-15%;($125)
it-IT;ESDCCAD2020MLUG;223211;CorelCAD 2020;239,99;203,99;;15%;-15%;($36)
ja-JP;ESDCCAD2020ML;223210;CorelCAD 2020;74,520;63,280;;15%;-15%;($11,240)
ja-JP;ESDCCAD2020MLUG;223211;CorelCAD 2020;36,720;31,180;;15%;-15%;($5,540)
ko-KR;ESDCCAD2020ML;223210;CorelCAD 2020;1,148,700;976,395;;15%;-15%;($172,305)
ko-KR;ESDCCAD2020MLUG;223211;CorelCAD 2020;327,000;277,950;;15%;-15%;($49,050)
nb-NO;ESDCCAD2020ML;223210;CorelCAD 2020;6,769;5,753;;15%;-15%;($1,016)
nb-NO;ESDCCAD2020MLUG;223211;CorelCAD 2020;1,929;1,639;;15%;-15%;($290)
nl-NL;ESDCCAD2020ML;223210;CorelCAD 2020;829.99;704.99;;15%;-15%;($125)
nl-NL;ESDCCAD2020MLUG;223211;CorelCAD 2020;239.99;203.99;;15%;-15%;($36)
pl-PL;ESDCCAD2020ML;223210;CorelCAD 2020;3,499;2,974;;15%;-15%;($525)
pl-PL;ESDCCAD2020MLUG;223211;CorelCAD 2020;999;849;;15%;-15%;($150)
pt-BR;ESDCCAD2020ML;223210;CorelCAD 2020;2,229;1,894;;15%;-15%;($335)
pt-BR;ESDCCAD2020MLUG;223211;CorelCAD 2020;629;534;;15%;-15%;($95)
se-SE;ESDCCAD2020ML;223210;CorelCAD 2020;7,955;6,761;;15%;-15%;($1,194)
se-SE;ESDCCAD2020MLUG;223211;CorelCAD 2020;2,259;1,920;;15%;-15%;($339)
zh-HK;ESDCCAD2020ML;223210;CorelCAD 2020;6,190;5,261;;15%;-15%;($929)
zh-HK;ESDCCAD2020MLUG;223211;CorelCAD 2020;1,759;1,495;;15%;-15%;($264)
zh-TW;ESDCCAD2020ML;223210;CorelCAD 2020;21,000;17,850;;15%;-15%;($3,150)
zh-TW;ESDCCAD2020MLUG;223211;CorelCAD 2020;5,964;5,069;;15%;-15%;($895)
