en-CA;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;322;;;;;;;;
cs-CZ;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;9 250;;;;;;;;P
da-DK;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;2,800;;;;;;;;
de-DE;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;349;;;;;;;;
de-LI;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;350;;;;;;;;
en-AU;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;549;;;;;;;;
en-GB;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;299;;;;;;;;
en-IE;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;349;;;;;;;;
en-MY;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;1,450;;;;;;;;
en-NZ;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;599;;;;;;;;
en-RW;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;399;;;;;;;;
en-SG;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;490;;;;;;;;
en-US;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;249;;;;;;;;
en-ZA;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;5 800;;;;;;;;
es-AR;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;20.300;;;;;;;;
es-CL;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;265.950;;;;;;;;
es-CO;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;1.348.500;;;;;;;;
es-ES;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;349;;;;;;;;
es-MX;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;6,285;;;;;;;;
es-PE;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;1,120;;;;;;;;
fr-FR;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;349;;;;;;;;
it-IT;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;349;;;;;;;;
ja-JP;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;39,740;;;;;;;;
ko-KR;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;397,500;;;;;;;;
nb-NO;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;3,850;;;;;;;;
nl-NL;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;349;;;;;;;;
pl-PL;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;1 600;;;;;;;;
pt-BR;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;1.450;;;;;;;;
se-SE;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;3,950;;;;;;;;
tr-TR;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;2,400;;;;;;;;
zh-HK;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;2,550;;;;;;;;
zh-TW;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;10,425;;;;;;;;
