en-CA;CDGS2020EFDPECOM;5362018000;OL_DR22;649;;;;;;
en-CA;LCCDGS2020ML;223823;OL_DR22;649;;;;;;
en-CA;ESDCDGS2020MAM;223824;OL_DR22;649;;;;;;
cs-CZ;LCCDGS2020ML;223827;OL_DR22;18 500;;;;;;
cs-CZ;ESDCDGS2020MAM;223828;OL_DR22;18 500;;;;;;
da-DK;CDGS2020EFDPECOM;5362018000;OL_DR22;5,600;;;;;;
da-DK;LCCDGS2020ML;223825;OL_DR22;5,600;;;;;;
da-DK;ESDCDGS2020MAM;223826;OL_DR22;5,600;;;;;;
de-DE;LCCDGS2020ML;223825;OL_DR22;719;;;;;;
de-DE;ESDCDGS2020MAM;223826;OL_DR22;719;;;;;;
de-LI;CDGS2020EFDPECOM;5362018000;OL_DR22;700;;;;;;
de-LI;LCCDGS2020ML;223825;OL_DR22;700;;;;;;
de-LI;ESDCDGS2020MAM;223826;OL_DR22;700;;;;;;
en-AU;LCCDGS2020ML;223829;OL_DR22;1,099;;;;;;
en-AU;ESDCDGS2020MAM;223830;OL_DR22;1,099;;;;;;
en-GB;CDGS2020EFDPECOM;5362018000;OL_DR22;599;;;;;;
en-GB;LCCDGS2020ML;223825;OL_DR22;599;;;;;;
en-GB;ESDCDGS2020MAM;223826;OL_DR22;599;;;;;;
en-IE;CDGS2020EFDPECOM;5362018000;OL_DR22;719;;;;;;
en-IE;LCCDGS2020ML;223825;OL_DR22;719;;;;;;
en-IE;ESDCDGS2020MAM;223826;OL_DR22;719;;;;;;p
en-MY;LCCDGS2020ML;223829;OL_DR22;2,900;;;;;;
en-MY;ESDCDGS2020MAM;223830;OL_DR22;2,900;;;;;;
en-NZ;LCCDGS2020ML;223829;OL_DR22;1,199;;;;;;
en-NZ;ESDCDGS2020MAM;223830;OL_DR22;1,199;;;;;;
en-RW;LCCDGS2020ML;223825;OL_DR22;785;;;;;;
en-RW;ESDCDGS2020MAM;223826;OL_DR22;785;;;;;;
en-SG;LCCDGS2020ML;223829;OL_DR22;980;;;;;;
en-SG;ESDCDGS2020MAM;223830;OL_DR22;980;;;;;;
en-US;CDGS2020EFDPECOM;5362018000;OL_DR22;499;;;;;;
en-US;LCCDGS2020ML;223823;OL_DR22;499;;;;;;
en-US;ESDCDGS2020MAM;223824;OL_DR22;499;;;;;;
en-ZA;LCCDGS2020ML;223825;OL_DR22;11 600;;;;;;
en-ZA;ESDCDGS2020MAM;223826;OL_DR22;11 600;;;;;;
es-AR;LCCDGS2020ML;223823;OL_DR22;40.599;;;;;;
es-AR;ESDCDGS2020MAM;223824;OL_DR22;40.599;;;;;;
es-CL;LCCDGS2020ML;223823;OL_DR22;531.900;;;;;;
es-CL;ESDCDGS2020MAM;223824;OL_DR22;531.900;;;;;;
es-CO;LCCDGS2020ML;223823;OL_DR22;2.697.000;;;;;;
es-CO;ESDCDGS2020MAM;223824;OL_DR22;2.697.000;;;;;;
es-ES;LCCDGS2020ML;223825;OL_DR22;719;;;;;;
es-ES;ESDCDGS2020MAM;223826;OL_DR22;719;;;;;;
es-MX;LCCDGS2020ML;223823;OL_DR22;12,570;;;;;;
es-MX;ESDCDGS2020MAM;223824;OL_DR22;12,570;;;;;;
es-PE;LCCDGS2020ML;223823;OL_DR22;2,235;;;;;;
es-PE;ESDCDGS2020MAM;223824;OL_DR22;2,235;;;;;;
fr-FR;LCCDGS2020ML;223825;OL_DR22;719;;;;;;
fr-FR;ESDCDGS2020MAM;223826;OL_DR22;719;;;;;;
it-IT;LCCDGS2020ML;223825;OL_DR22;719;;;;;;
it-IT;ESDCDGS2020MAM;223826;OL_DR22;719;;;;;;
ja-JP;LCCDGS2020ML;223829;OL_DR22;79,480;;;;;;
ja-JP;ESDCDGS2020MAM;223830;OL_DR22;79,480;;;;;;
ko-KR;LCCDGS2020ML;223829;OL_DR22;795,000;;;;;;
ko-KR;ESDCDGS2020MAM;223830;OL_DR22;795,000;;;;;;
nb-NO;CDGS2020EFDPECOM;5362018000;OL_DR22;7,700;;;;;;
nb-NO;LCCDGS2020ML;223825;OL_DR22;7,700;;;;;;
nb-NO;ESDCDGS2020MAM;223826;OL_DR22;7,700;;;;;;
nl-NL;LCCDGS2020ML;223825;OL_DR22;719;;;;;;
nl-NL;ESDCDGS2020MAM;223826;OL_DR22;719;;;;;;
pl-PL;LCCDGS2020ML;223827;OL_DR22;3 199;;;;;;
pl-PL;ESDCDGS2020MAM;223828;OL_DR22;3 199;;;;;;
pt-BR;LCCDGS2020ML;5362017800;OL_DR22;2.899;;;;;;
pt-BR;ESDCDGS2020MAM;5362017900;OL_DR22;2.899;;;;;;
se-SE;CDGS2020EFDPECOM;5362018000;OL_DR22;7,900;;;;;;
se-SE;LCCDGS2020ML;223825;OL_DR22;7,900;;;;;;
se-SE;ESDCDGS2020MAM;223826;OL_DR22;7,900;;;;;;
zh-HK;LCCDGS2020ML;223829;OL_DR22;5,099;;;;;;
zh-HK;ESDCDGS2020MAM;223830;OL_DR22;5,099;;;;;;
zh-TW;LCCDGS2020ML;223829;OL_DR22;20,850;;;;;;
zh-TW;ESDCDGS2020MAM;223830;OL_DR22;20,850;;;;;;
