en-CA;ESDCDS2020AM;225647;OL_DS22;385;309;;CA$ 75;-20%;($76)
cs-CZ;ESDCDS2020AM;225648;OL_DS22;10 870;8 696;;20%;-20%;($2,174)
da-DK;ESDCDS2020AM;225648;OL_DS22;3,015;2,412;;20%;-20%;($603)
de-DE;ESDCDS2020AM;225648;OL_DS22;355;284;;20 %;-20%;($71)
de-LI;ESDCDS2020AM;225648;OL_DS22;365;292;;20%;-20%;($73)
en-AU;ESDCDS2020AM;225648;OL_DS22;640;512;;20%;-20%;($128)
en-GB;ESDCDS2020AM;225648;OL_DS22;315;252;;20%;-20%;($63)
en-IE;ESDCDS2020AM;225648;OL_DS22;355;284;;20%;-20%;($71)
en-IN;ESDCDS2020AM;225648;OL_DS22;See Resellers;;;;;
en-MY;ESDCDS2020AM;225648;OL_DS22;1,610;1,288;;20%;-20%;($322)
en-NZ;ESDCDS2020AM;225648;OL_DS22;685;548;;20%;-20%;($137)
en-RW;ESDCDS2020AM;225648;OL_DS22;419;335;;20%;-20%;($84)
en-SG;ESDCDS2020AM;225648;OL_DS22;539;431;;20%;-20%;($108)
en-US;ESDCDS2020AM;225647;OL_DS22;299;239;;$60;-20%;($60)
en-ZA;ESDCDS2020AM;225648;OL_DS22;7 645;6 116;;20%;-20%;($1,529)
es-AR;ESDCDS2020AM;225647;OL_DS22;22.650;18.120;;20%;-20%;($4,530)
es-CL;ESDCDS2020AM;225647;OL_DS22;302.339;241.871;;20%;-20%;($60,468)
es-CO;ESDCDS2020AM;225647;OL_DS22;1.672.700;1.338.160;;20%;-20%;($334,540)
es-ES;ESDCDS2020AM;225648;OL_DS22;355;284;;20%;-20%;($71)
es-MX;ESDCDS2020AM;225647;OL_DS22;8,665;6,932;;20%;-20%;($1,733)
es-PE;ESDCDS2020AM;225647;OL_DS22;1,200;960;;20%;-20%;($240)
fr-FR;ESDCDS2020AM;225648;OL_DS22;355;284;;20 %;-20%;($71)
it-IT;ESDCDS2020AM;225648;OL_DS22;355;284;;20%;-20%;($71)
ja-JP;ESDCDS2020AM;226501;OL_DS22;41,580;33,280;;20%;-20%;($8,300)
ko-KR;ESDCDS2020AM;225648;OL_DS22;432,800;346,240;;20%;-20%;($86,560)
nb-NO;ESDCDS2020AM;225648;OL_DS22;4,635;3,708;;20%;-20%;($927)
nl-NL;ESDCDS2020AM;225648;OL_DS22;355;284;;20%;-20%;($71)
pl-PL;ESDCDS2020AM;225648;OL_DS22;1 820;1 456;;20%;-20%;($364)
pt-BR;ESDCDS2020AM;225647;OL_DS22;1.855;1.484;;20%;-20%;($371)
ru-RU;ESDCDS2020AM;225648;OL_DS22;Торговые посредники;;;;;
se-SE;ESDCDS2020AM;225648;OL_DS22;4,445;3,556;;20%;-20%;($889)
zh-CN;ESDCDS2020AM;225648;OL_DS22;请参见分销商;;;;;
zh-HK;ESDCDS2020AM;225648;OL_DS22;2,705;2,164;;20%;-20%;($541)
zh-TW;ESDCDS2020AM;225648;OL_DS22;11,090;8,872;;20%;-20%;($2,218)
