en-CA;ESDPVS2020ULT;;220770;199.99;139.99;;30%;-50%;-$100
en-US;ESDPVS2020ULT;;220770;199.99;139.99;;30%;-50%;-$100
pt-BR;ESDPVS2020ULT;;220770;778;544;;30%;-35%;-$273
de-LI;ESDPVS2020ULT;;220770;199.95;139.95;;30%;-35%;-$70
da-DK;ESDPVS2020ULT;;220770;1,398;978;;30%;-35%;-$490
de-DE;ESDPVS2020ULT;;220770;179,99;124,99;;30 %;-33%;-$60
fr-FR;ESDPVS2020ULT;;220770;179,99;124,99;;30 %;-33%;-$60
en-GB;ESDPVS2020ULT;;220770;179.99;124.99;;30%;-33%;-$60
it-IT;ESDPVS2020ULT;;220770;179,99;124,99;;30%;-33%;-$60
nl-NL;ESDPVS2020ULT;;220770;179,99;125,00;;30%;-33%;-$60
ja-JP;ESDPVS2020ULT;;220770;27,580;19,280;;30%;-35%;-$9,700
