en-CA;ESDWP2020PREF;225485;OL_WP20PRO;519.99;389.99;;CA$ 130;-25%;($130)
en-CA;ESDWP2020PREFUG;225487;OL_WP20PRO;337.99;249.99;;CA$ 85;-26%;($88)
en-CA;WP2020PREFDVDAM;5394942700;OL_WP20PRO;519.99;389.99;;CA$ 130;-25%;($130)
en-CA;WP2020PREFDVDUGAM;5394942800;OL_WP20PRO;337.99;249.99;;CA$ 85;-26%;($88)
da-DK;ESDWP2020PREF;225485;OL_WP20PRO;5,547;4,160;;25%;-25%;($1,387)
da-DK;ESDWP2020PREFUG;225487;OL_WP20PRO;2,799;2,099;;25%;-25%;($700)
de-LI;ESDWP2020PREF;225485;OL_WP20PRO;806.95;605;;25%;-25%;($202)
de-LI;ESDWP2020PREFUG;225487;OL_WP20PRO;406.95;305;;25%;-25%;($102)
en-AU;ESDWP2020PREF;225485;OL_WP20PRO;449.95;336.95;;25%;-25%;($113)
en-AU;ESDWP2020PREFUG;225487;OL_WP20PRO;299.95;224.95;;25%;-25%;($75)
en-GB;ESDWP2020PREF;225485;OL_WP20PRO;514.99;384.99;;25%;-25%;($130)
en-GB;ESDWP2020PREFUG;225487;OL_WP20PRO;254.99;189.99;;25%;-25%;($65)
en-IE;ESDWP2020PREF;225485;OL_WP20PRO;664.99;;;;;
en-IE;ESDWP2020PREFUG;225487;OL_WP20PRO;334.99;;;;;
en-IN;ESDWP2020PREF;225485;OL_WP20PRO;29,000;;;;;
en-IN;ESDWP2020PREFUG;225487;OL_WP20PRO;19,900;;;;;
en-MY;ESDWP2020PREF;225485;OL_WP20PRO;1,290;967;;25%;-25%;($323)
en-MY;ESDWP2020PREFUG;225487;OL_WP20PRO;890;667;;25%;-25%;($223)
en-NZ;ESDWP2020PREF;225485;OL_WP20PRO;449.95;336.95;;25%;-25%;($113)
en-NZ;ESDWP2020PREFUG;225487;OL_WP20PRO;299.95;224.95;;25%;-25%;($75)
en-SG;ESDWP2020PREF;225485;OL_WP20PRO;449;336;;25%;-25%;($113)
en-SG;ESDWP2020PREFUG;225487;OL_WP20PRO;299;224;;25%;-25%;($75)
en-US;ESDWP2020PREF;225485;OL_WP20PRO;399.99;299.99;;$100 ;-25%;($100)
en-US;ESDWP2020PREFUG;225487;OL_WP20PRO;259.99;194.99;;$65 ;-25%;($65)
en-US;WP2020PREFDVDAM;5394942700;OL_WP20PRO;399.99;299.99;;$100 ;-25%;($100)
en-US;WP2020PREFDVDUGAM;5394942800;OL_WP20PRO;259.99;194.99;;$65 ;-25%;($65)
en-ZA;ESDWP2020PREF;225485;OL_WP20PRO;4 299;3 224;;25%;-25%;($1,075)
en-ZA;ESDWP2020PREFUG;225487;OL_WP20PRO;2 799;2 099;;25%;-25%;($700)
fr-FR;ESDWP2020PREF;225485;OL_WP20PRO;664,99;;;;;
fr-FR;ESDWP2020PREFUG;225487;OL_WP20PRO;334,99;;;;;
ja-JP;ESDWP2020PREF;225485;OL_WP20PRO;61,508;46,080;;25%;-25%;($15,428)
ja-JP;ESDWP2020PREFUG;225487;OL_WP20PRO;33,737;25,280;;25%;-25%;($8,457)
nb-NO;ESDWP2020PREF;225485;OL_WP20PRO;5,547;4,160;;25%;-25%;($1,387)
nb-NO;ESDWP2020PREFUG;225487;OL_WP20PRO;2,799;2,099;;25%;-25%;($700)
pt-BR;ESDWP2020PREF;225485;OL_WP20PRO;1.994;1.495;;25%;-25%;($499)
pt-BR;ESDWP2020PREFUG;225487;OL_WP20PRO;1.006;754;;25%;-25%;($252)
se-SE;ESDWP2020PREF;225485;OL_WP20PRO;6,092.99;4,569;;25%;-25%;($1,524)
se-SE;ESDWP2020PREFUG;225487;OL_WP20PRO;3,073.99;2,305;;25%;-25%;($769)
en-RW;ESDWP2020PREF;225485;OL_WP20PRO;399.99;299.99;;25%;-25%;($100)
en-RW;ESDWP2020PREFUG;225487;OL_WP20PRO;259.99;194.99;;25%;-25%;($65)
